,MOF,gas,ppm,rep_id,slope,saturation,auc
280,Zn-HHTP,NH3,10,2,-0.2684213299228638,-28.368335948694018,-45100.85895664543
281,Zn-HHTP,NH3,10,3,-0.2500338070834654,-26.934349503931536,-42426.96717879515
282,Zn-HHTP,NH3,20,0,-0.4468056839118447,-26.461101809630193,-32931.76515340641
283,Zn-HHTP,NH3,20,1,-0.4592452268229859,-26.717283328640935,-34084.3210963199
284,Zn-HHTP,NH3,20,2,-0.5020650115744267,-27.87943782446809,-36764.13565883902
285,Zn-HHTP,NH3,20,3,-0.437781380416736,-28.907530515657683,-38014.52994393547
286,Zn-HHTP,NH3,40,0,-0.31939235209540656,-30.651351396558667,-34242.85947756719
287,Zn-HHTP,NH3,40,1,-0.22259055973995256,-31.33021914087255,-34478.36037210556
288,Zn-HHTP,NH3,40,2,-0.23245484995983395,-30.63016142736025,-35111.72540091118
289,Zn-HHTP,NH3,40,3,-0.21060504139467087,-31.330163957470347,-35901.23750908855
290,Zn-HHTP,NH3,80,0,-0.7826271529464135,-27.691935443039554,-21077.602660123637
291,Zn-HHTP,NH3,80,1,-0.7590308292925312,-26.898513829712765,-20569.274117111923
292,Zn-HHTP,NH3,80,2,-0.8075090491764607,-28.216988662143976,-21334.96610001159
293,Zn-HHTP,NH3,80,3,-0.7879783940178772,-27.13657214458221,-19350.857213058705
